zip-code,area
90001,Florence / South LA 
90002,Watts 
90003,South LA 
90004,Hancock Park 
90005,Koreatown 
90006,Pico Heights 
90007,South LA 
90008,Baldwin Hills / Crenshaw / Leimert Park 
90009,Airport Worldway 
90010,Wilshire Blvd 
90011,South LA 
90012,Civic Center / Chinatown 
90013,Downtown LA 
90014,Los Angeles
90015,Downtown LA 
90016,West Adams 
90017,Downtown LA 
90018,Jefferson Park 
90019,Country Club Park / Mid City 
90020,Hancock Park 
90021,Downtown LA 
90022,East LA
90023,East LA 
90024,Westwood 
90025,Sawtelle / West LA 
90026,Echo Park / Silverlake 
90027,Griffith Park / Los Feliz 
90028,Hollywood 
90029,Downtown LA 
90030,Terminal Annex 
90031,Montecito Heights 
90032,El Sereno / Monterey Hills 
90033,Boyle Heights 
90034,Palms 
90035,West Fairfax 
90036,Park La Brea 
90037,South LA 
90038,Hollywood 
90039,Atwater Village 
90040,City of Commerce
90041,Eagle Rock 
90042,Highland Park 
90043,Hyde Park / View Park / Windsor Hills
90044,Athens
90045,LAX Area / Westchester 
90046,Mount Olympus 
90047,South LA 
90048,West Beverly 
90049,Bel Air Estates / Brentwood 
90050,Los Angeles
90051,Los Angeles
90052,Los Angeles
90053,Los Angeles
90054,Los Angeles
90055,Los Angeles
90056,Ladera Heights 
90057,Westlake 
90058,Vernon
90059,Watts / Willowbrook
90060,Los Angeles
90061,South LA 
90062,South LA 
90063,City Terrace
90064,Cheviot Hills / Rancho Park 
90065,Cypress Park / Glassell Park / Mt. Washington
90066,Mar Vista 
90067,Century City 
90068,Hollywood 
90069,West Hollywood
90070,Los Angeles
90071,ARCO Towers 
90072,Los Angeles
90073,VA Hospital (Sawtelle)
90075,Los Angeles
90076,Los Angeles
90077,Bel Air Estates & Beverly Glen 
90078,Los Angeles
90079,Los Angeles
90080,Airport Worldway 
90081,Los Angeles
90082,Los Angeles
90083,Los Angeles
90086,Los Angeles
90087,Los Angeles
90089,USC 
90091,Los Angeles
90093,Los Angeles
90094,Playa Vista
90095,Los Angeles
90099,Los Angeles
90201,Bell / Bell Gardens / Cudahy
90202,Bell Gardens
90209,Beverly Hills
90210,Beverly Hills / Beverly Glen 
90211,Beverly Hills
90212,Beverly Hills
90213,Beverly Hills
90220,Compton / Rancho Dominguez
90221,East Rancho Dominguez
90222,Compton / Rosewood / Willowbrook
90223,Compton
90224,Compton
90230,Culver City
90231,Culver City
90232,Culver City
90233,Culver City
90239,Downey
90240,Downey
90241,Downey
90242,Downey
90245,El Segundo
90247,Gardena
90248,Gardena
90249,Gardena
90250,Hawthorne (Holly Park)
90251,Hawthorne
90254,Hermosa Beach
90255,Huntington Park / Walnut Park
90260,Lawndale
90261,Lawndale (Federal Bldg)
90262,Lynwood
90263,Pepperdine University (Malibu)
90264,Malibu
90265,Malibu
90266,Manhattan Beach
90267,Manhattan Beach
90270,Maywood
90272,Castellemare / Pacific Highlands / Pacific Palisades
90274,Palos Verdes Estates / Rolling Hills / Rolling Hills Estates
90275,Rancho Palos Verdes
90277,Redondo Beach / Torrance
90278,Redondo Beach / Torrance
90280,South Gate
90290,Topanga
90291,Venice 
90292,Marina del Rey
90293,Playa del Rey 
90294,Venice 
90295,Marina del Rey
90296,Playa Del Rey
90301,Inglewood
90302,Inglewood
90303,Inglewood
90304,Lennox
90305,Inglewood
90306,Inglewood
90307,Inglewood
90308,Inglewood
90309,Inglewood
90310,Inglewood
90311,Inglewood
90312,Inglewood
90401,Santa Monica
90402,Santa Monica
90403,Santa Monica
90404,Santa Monica
90405,Santa Monica
90406,Santa Monica
90407,Santa Monica
90408,Santa Monica
90409,Santa Monica
90410,Santa Monica
90411,Santa Monica
90501,Torrance
90502,Torrance
90503,Torrance
90504,Torrance
90505,Torrance
90506,Torrance (Camino College)
90507,Torrance
90508,Torrance
90509,Torrance
90510,Torrance
90601,Whittier
90602,Whittier
90603,Whittier
90604,Whittier
90605,Whittier / South Whittier
90606,Los Nietos
90607,Whittier
90608,Whittier (Whittier College)
90609,Whittwood (Whittier)
90610,Los Nietos (Whittier)
90623,La Palma
90630,Cypress
90631,La Habra Heights
90637,La Mirada
90638,La Mirada
90639,La Mirada (Biola Univ.)
90640,Montebello
90650,Norwalk
90651,Norwalk
90651,Norwalk
90652,Norwalk
90660,Pico Rivera
90661,Pico Rivera
90662,Pico Rivera
90670,Santa Fe Springs
90671,Santa Fe Springs
90701,Cerritos
90702,Artesia
90703,Cerritos
90704,Avalon
90706,Bellflower
90707,Bellflower
90710,Harbor City 
90711,Lakewood
90712,Lakewood
90713,Lakewood
90714,Lakewood
90715,Lakewood
90716,Hawaiian Gardens
90717,Lomita / Rancho Palos Verdes
90723,Paramount
90731,San Pedro / Terminal Island 
90732,Rancho Palos Verdes
90733,San Pedro 
90734,San Pedro
90744,Wilmington 
90745,Carson
90746,Carson
90747,Carson (Cal State Univ. Dominguez Hills)
90748,Wilmington 
90749,Carson
90755,Signal Hill
90801,Long Beach
90802,Long Beach
90803,Long Beach
90804,Long Beach
90805,North Long Beach (Long Beach)
90806,Long Beach
90807,Long Beach
90808,Long Beach
90809,Long Beach
90810,Carson / Long Beach
90813,Long Beach
90814,Long Beach
90815,Long Beach
90822,Long Beach
90831,Long Beach (World Trade Center)
90832,Long Beach (World Trade Center)
90833,Long Beach
90834,Long Beach
90835,Long Beach
90840,Long Beach (Cal State University Long Beach)
90846,Long Beach (Boeing)
90853,Belmont Shores (Long Beach)
91001,Altadena
91003,Altadena
91006,Arcadia
91007,Arcadia
91008,Duarte
91009,Duarte
91010,Bradbury
91011,La Canada-Flintridge
91012,La Canada-Flintridge
91016,Monrovia
91017,Monrovia
91020,Montrose
91021,Montrose
91023,Mount Wilson
91024,Sierra Madre
91025,Sierra Madre
91030,South Pasadena
91031,South Pasadena
91040,Shadow Hills / Sunland 
91041,Sunland 
91042,Tujunga 
91043,Tujunga 
91046,Glendale (Verdugo City)
91066,Arcadia
91077,Arcadia
91101,Pasadena
91102,Pasadena
91103,Pasadena
91104,Pasadena
91105,Pasadena
91106,Pasadena
91107,Pasadena
91108,San Marino
91109,Pasadena
91114,Pasadena
91115,Pasadena
91116,Pasadena
