zip-code,median-monthly-housing-costs
89010,472
89019,512
89046,433
89060,742
89061,957
89439,1237
90001,1135
90002,1166
90003,1213
90004,1238
90005,1089
90006,1050
90007,1135
90008,1202
90010,1881
90011,1148
90012,1355
90013,862
90014,1600
90015,1165
90016,1287
90017,977
90018,1160
90019,1337
90020,1242
90021,517
90022,1061
90023,1078
90024,2178
90025,1898
90026,1283
90027,1390
90028,1302
90029,1119
90031,1121
90032,1178
90033,988
90034,1610
90035,1935
90036,2103
90037,1106
90038,1188
90039,1694
90040,1106
90041,1525
90042,1349
90043,1349
90044,1106
90045,1974
90046,1626
90047,1362
90048,2066
90049,2418
90056,2064
90057,964
90058,624
90059,1215
90061,1228
90062,1305
90063,1116
90064,2213
90065,1355
90066,1684
90067,2642
90068,1995
90069,1914
90071,-
90073,-
90077,3910
90079,-
90089,-
90090,-
90094,3139
90095,-
90201,1171
90210,3241
90211,1947
90212,2210
90220,1278
90221,1330
90222,1262
90230,1704
90232,1693
90240,1820
90241,1324
90242,1474
90245,1786
90247,1211
90248,1276
90249,1362
90250,1215
90254,2257
90255,1091
90260,1459
90262,1270
90263,-
90265,2814
90266,2713
90270,1043
90272,3102
90274,3014
90275,2476
90277,2094
90278,2112
90280,1195
90290,2598
90291,2019
90292,2664
90293,2175
90301,1196
90302,1274
90303,1285
90304,1124
90305,1640
90401,1803
90402,2650
90403,1881
90404,1564
90405,1808
90501,1453
90502,1429
90503,1753
90504,1525
90505,1765
90506,-
90601,1494
90602,1359
90603,1959
90604,1531
90605,1575
90606,1496
90620,1770
90621,1483
90623,1624
90630,1866
90631,1528
90638,1761
90640,1251
90650,1568
90660,1382
90670,1622
90680,1436
90701,1408
90703,1934
90704,1435
90706,1334
90710,1250
90712,1834
90713,1880
90715,1606
90716,1256
90717,1400
90720,1851
90723,1286
90731,1318
90732,1889
90740,883
90742,2177
90743,2068
90744,1145
90745,1489
90746,1793
90747,-
90755,1512
90802,1213
90803,1657
90804,1254
90805,1262
90806,1203
90807,1545
90808,1969
90810,1307
90813,1038
90814,1427
90815,1886
90822,-
90831,-
91001,1841
91006,1977
91007,1511
91008,2875
91010,1558
91011,3448
91016,1488
91020,1579
91024,1815
91030,1714
91040,1810
91042,1515
91046,1056
91101,1581
91103,1591
91104,1640
91105,2279
91106,1698
91107,1787
91108,3265
91201,1514
91202,1719
91203,1501
91204,1314
91205,1334
91206,1567
91207,1730
91208,2400
91210,2970
91214,2092
91301,2415
91302,2843
91303,1439
91304,1542
91306,1646
91307,2476
91311,1946
91316,1717
91320,2265
91321,1569
91324,1768
91325,1640
91326,2485
91330,-
91331,1574
91335,1577
91340,1474
91342,1745
91343,1481
91344,2128
91345,1669
91350,2213
91351,1744
91352,1448
91354,2448
91355,1900
91356,1850
91360,1991
91361,2368
91362,2341
91364,2457
91367,2129
91371,-
91377,2492
91381,2696
91384,2120
91387,1994
91390,2360
91401,1419
91402,1280
91403,1915
91405,1219
91406,1421
91411,1390
91423,1853
91436,2937
91501,1658
91502,1391
91504,1693
91505,1806
91506,1631
91601,1431
91602,1750
91604,2052
91605,1295
91606,1265
91607,1491
91608,-
91701,1884
91702,1408
91706,1405
91708,2101
91709,2107
91710,1715
91711,1815
91722,1527
91723,1466
91724,1649
91730,1636
91731,1070
91732,1259
91733,1183
91737,2055
91739,2222
91740,1632
91741,1862
91744,1404
91745,1711
91746,1412
91748,1544
91750,1582
91752,1583
91754,1309
91755,1304
91759,900
91761,1576
91762,1320
91763,1276
91764,1402
91765,1968
91766,1391
91767,1360
91768,1320
91770,1247
91773,1745
91775,1622
91776,1322
91780,1438
91784,2302
91786,1331
91789,2002
91790,1631
91791,1781
91792,1668
91801,1323
91803,1339
91901,1930
91902,1966
91905,757
91906,1021
91910,1389
91911,1394
91913,2284
91914,2794
91915,2498
91916,1446
91917,1038
91931,1307
91932,1308
91934,822
91935,2343
91941,1668
91942,1429
91945,1366
91948,-
91950,1133
91962,1477
91963,801
91977,1475
91978,1620
91980,-
92003,1989
92004,716
92007,2088
92008,1829
92009,2491
92010,2210
92011,2404
92014,2390
92019,1730
92020,1248
92021,1322
92024,2082
92025,1422
92026,1530
92027,1511
92028,1474
92029,1831
92036,1105
92037,2242
92040,1437
92054,1398
92055,-
92056,1680
92057,1753
92058,1745
92059,1085
92060,-
92061,1345
92064,2127
92065,1934
92066,1091
92067,3487
92069,1594
92070,607
92071,1740
92075,2067
92078,1867
92081,1759
92082,2092
92083,1425
92084,1499
92086,632
92091,1821
92101,1684
92102,1184
92103,1493
92104,1317
92105,1129
92106,2047
92107,1592
92108,1903
92109,1568
92110,1587
92111,1508
92113,1068
92114,1471
92115,1327
92116,1287
92117,1559
92118,2422
92119,1633
92120,1724
92121,2211
92122,1887
92123,1917
92124,2163
92126,1907
92127,2696
92128,1959
92129,2164
92130,2826
92131,2462
92132,-
92134,-
92135,-
92139,1541
92140,-
92145,"4,000+"
92147,-
92154,1513
92155,-
92173,1101
92201,1069
92203,1645
92210,1624
92211,1283
92220,904
92222,-
92223,1466
92225,739
92227,867
92230,830
92231,1012
92233,760
92234,1169
92236,1156
92239,481
92240,926
92241,584
92242,416
92243,843
92249,1082
92250,809
92251,1450
92252,820
92253,1576
92254,683
92256,698
92257,336
92258,363
92259,378
92260,1169
92262,1089
92264,1037
92266,-
92267,-
92268,777
92270,1464
92273,743
92274,633
92275,903
92276,867
92277,882
92278,1190
92280,-
92281,723
92282,966
92283,323
92284,943
92285,643
92301,1059
92304,-
92305,832
92307,1155
92308,1045
92309,684
92310,1243
92311,749
92313,1364
92314,1134
92315,1059
92316,1196
92320,961
92321,1392
92322,819
92324,1121
92325,1033
92327,481
92328,200
92332,-
92333,-
92335,1129
92336,1984
92337,1680
92338,-
92339,1357
92341,617
92342,1259
92344,1569
92345,1086
92346,1291
92347,1005
92352,1725
92354,1189
92356,699
92358,865
92359,1072
92363,587
92364,-
92365,839
92368,816
92371,1148
92372,1131
92373,1364
92374,1286
92376,1189
92377,1728
92378,1395
92382,1158
92384,-
92385,1151
92386,1010
92389,325
92391,1219
92392,1300
92394,1304
92395,1087
92397,1168
92398,941
92399,1185
92401,764
92404,1043
92405,983
92407,1341
92408,1009
92410,873
92411,915
92501,1174
92503,1428
92504,1311
92505,1413
92506,1627
92507,1213
92508,2101
92509,1357
92518,1570
92530,1282
92532,1948
92536,1057
92539,873
92543,824
92544,990
92545,1086
92548,785
92549,897
92551,1380
92553,1225
92555,1740
92557,1459
92561,1798
92562,1791
92563,1964
92567,1339
92570,1142
92571,1490
92582,1344
92583,982
92584,1838
92585,1564
92586,971
92587,1656
92590,1272
92591,1726
92592,2028
92595,1538
92596,1969
92602,2347
92603,2711
92604,2055
92606,2236
92610,2353
92612,2152
92614,2122
92617,1402
92618,2295
92620,2250
92624,1710
92625,2630
92626,1893
92627,1660
92629,2188
92630,1938
92637,993
92646,1848
92647,1694
92648,1910
92649,1781
92651,2357
92653,2169
92655,1358
92656,2300
92657,3330
92660,2569
92661,1925
92662,2139
92663,2013
92672,1791
92673,2875
92675,2108
92676,1997
92677,2262
92678,2104
92679,2890
92683,1493
92688,2219
92691,2154
92692,2232
92694,3276
92701,1198
92703,1408
92704,1560
92705,1851
92706,1430
92707,1587
92708,1861
92780,1632
92782,2334
92801,1455
92802,1426
92804,1458
92805,1514
92806,1714
92807,2210
92808,2373
92821,1785
92823,2709
92831,1513
92832,1500
92833,1763
92835,1856
92840,1529
92841,1468
92843,1406
92844,1492
92845,1969
92860,2013
92861,2790
92865,1918
92866,1622
92867,1883
92868,1634
92869,2019
92870,1841
92879,1567
92880,2401
92881,2107
92882,1671
92883,2276
92886,2428
92887,2533
93001,1441
93003,1601
93004,1780
93010,1875
93012,2052
93013,1794
93015,1552
93021,2114
93022,1621
93023,1664
93030,1537
93033,1409
93035,1959
93036,1611
93040,1110
93041,1670
93042,-
93043,2250
93060,1251
93063,1986
