zip-code,population,white-count,white-non-hispanic-count,black-count,native-american-count,asian-count,hawaiian-pacific-count,other-count,two-or-more-count,two-or-more-other-count,two-or-more-not-other-count
89010,512,421,327,7,14,0,0,63,7,0,7
89019,1748,1528,1320,64,2,77,0,62,15,13,2
89046,354,343,335,0,0,0,0,11,0,0,0
89060,9373,7201,6772,563,27,59,72,1240,211,0,211
89061,5360,4314,4098,121,72,336,51,280,186,18,168
89439,1465,1432,1361,6,13,0,0,0,14,0,14
90001,58738,19012,351,5383,444,132,12,33065,690,418,272
90002,52856,19918,255,11401,465,299,55,20177,541,151,390
90003,70490,20983,473,15778,521,201,68,32218,721,281,440
90004,62733,23687,10709,2544,107,15730,374,18339,1952,586,1366
90005,39562,8045,3045,2464,328,13777,77,13960,911,231,680
90006,62329,16303,2444,2090,692,11315,99,30595,1235,593,642
90007,41221,12299,6835,4519,255,8337,141,14408,1262,363,899
90008,32359,5944,1402,21592,96,1049,54,2377,1247,169,1078
90010,3759,867,630,180,2,2489,0,124,97,15,82
90011,108051,44204,626,9040,1030,619,218,51642,1298,735,563
90012,33783,9657,5266,4299,292,13657,94,4707,1077,332,745
90013,11957,4267,3409,3676,143,2002,30,957,882,138,744
90014,7408,3800,3156,1305,59,1196,13,565,470,116,354
90015,20187,6746,2645,1368,133,3012,21,8500,407,184,223
90016,46303,18165,3718,15266,282,1785,0,9302,1503,531,972
90017,26390,9771,3140,1415,399,4103,137,9772,793,256,537
90018,52287,10138,2600,16300,511,2209,90,21727,1312,424,888
90019,67415,22307,10053,12763,711,10992,79,18175,2388,653,1735
90020,39191,10023,4541,1924,290,18859,344,6605,1146,195,951
90021,3158,1182,687,712,33,52,0,1009,170,44,126
90022,67446,37967,1445,199,690,860,23,26707,1000,604,396
90023,47229,31978,797,459,368,443,0,13315,666,435,231
90024,49718,29866,25858,1040,82,14393,26,1572,2739,93,2646
90025,47453,29585,25157,1469,765,9799,35,2991,2809,197,2612
90026,68609,35056,17399,2734,1176,11230,98,15639,2676,948,1728
90027,45616,30666,27398,1129,51,5892,80,5944,1854,432,1422
90028,31054,17480,15068,2797,208,2976,59,6057,1477,264,1213
90029,38843,14832,9471,1124,96,6846,100,14780,1065,296,769
90031,39103,14204,3025,359,428,9246,48,13694,1124,340,784
90032,47766,20915,3516,733,512,4684,47,19669,1206,786,420
90033,48841,34717,1330,797,309,2563,24,9682,749,515,234
90034,56070,32939,22415,5495,209,10419,203,4123,2682,823,1859
90035,29920,22383,21065,2199,0,2178,18,1772,1370,95,1275
90036,38116,24964,23516,1865,75,7453,92,2005,1662,157,1505
90037,63238,20313,1067,11420,584,648,0,28959,1314,588,726
90038,27957,11555,8468,1606,156,1443,0,12106,1091,453,638
90039,29092,17255,11514,456,370,4914,66,4655,1376,185,1191
90040,12925,9309,178,209,229,114,0,2785,279,72,207
90041,28651,14047,8386,383,177,8495,103,3664,1782,582,1200
90042,63788,29633,10129,1677,1314,8128,107,20255,2674,662,2012
90043,44571,8726,1499,26750,191,548,48,7169,1139,204,935
90044,94680,25246,955,32579,437,467,8,34432,1511,287,1224
90045,41420,24693,20393,5494,127,5826,64,2452,2764,325,2439
90046,51615,40771,38208,2680,115,3344,59,2110,2536,442,2094
90047,48491,7931,873,31267,190,402,115,7659,927,239,688
90048,22860,18360,17357,704,33,1881,12,744,1126,300,826
90049,36362,30773,29224,520,67,3168,0,351,1483,112,1371
90056,8014,1426,1003,5618,0,421,0,37,512,41,471
90057,49389,15077,2902,2340,500,9648,133,20782,909,322,587
90058,3189,1760,70,205,0,42,11,1154,17,5,12
90059,47351,17291,472,14700,197,279,71,13977,836,410,426
90061,28003,10305,240,9105,140,79,11,7795,568,265,303
90062,33627,6719,430,11039,140,428,43,14538,720,316,404
