GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US89010,89010,ZCTA5 89010,512,130
8600000US89019,89019,ZCTA5 89019,1748,553
8600000US89046,89046,ZCTA5 89046,354,99
8600000US89060,89060,ZCTA5 89060,9373,838
8600000US89061,89061,ZCTA5 89061,5360,584
8600000US89439,89439,ZCTA5 89439,1465,232
8600000US90001,90001,ZCTA5 90001,58738,1665
8600000US90002,90002,ZCTA5 90002,52856,1953
8600000US90003,90003,ZCTA5 90003,70490,2162
8600000US90004,90004,ZCTA5 90004,62733,1587
8600000US90005,90005,ZCTA5 90005,39562,1323
8600000US90006,90006,ZCTA5 90006,62329,1575
8600000US90007,90007,ZCTA5 90007,41221,1363
8600000US90008,90008,ZCTA5 90008,32359,1504
8600000US90010,90010,ZCTA5 90010,3759,492
8600000US90011,90011,ZCTA5 90011,108051,2091
8600000US90012,90012,ZCTA5 90012,33783,1094
8600000US90013,90013,ZCTA5 90013,11957,890
8600000US90014,90014,ZCTA5 90014,7408,708
8600000US90015,90015,ZCTA5 90015,20187,1013
8600000US90016,90016,ZCTA5 90016,46303,1587
8600000US90017,90017,ZCTA5 90017,26390,967
8600000US90018,90018,ZCTA5 90018,52287,1479
8600000US90019,90019,ZCTA5 90019,67415,1520
8600000US90020,90020,ZCTA5 90020,39191,1252
8600000US90021,90021,ZCTA5 90021,3158,427
8600000US90022,90022,ZCTA5 90022,67446,1783
8600000US90023,90023,ZCTA5 90023,47229,1391
8600000US90024,90024,ZCTA5 90024,49718,1528
8600000US90025,90025,ZCTA5 90025,47453,1511
8600000US90026,90026,ZCTA5 90026,68609,1482
8600000US90027,90027,ZCTA5 90027,45616,1322
8600000US90028,90028,ZCTA5 90028,31054,1120
8600000US90029,90029,ZCTA5 90029,38843,1198
8600000US90031,90031,ZCTA5 90031,39103,1241
8600000US90032,90032,ZCTA5 90032,47766,1336
8600000US90033,90033,ZCTA5 90033,48841,1567
8600000US90034,90034,ZCTA5 90034,56070,1661
8600000US90035,90035,ZCTA5 90035,29920,1159
8600000US90036,90036,ZCTA5 90036,38116,1115
8600000US90037,90037,ZCTA5 90037,63238,2252
8600000US90038,90038,ZCTA5 90038,27957,1125
8600000US90039,90039,ZCTA5 90039,29092,920
8600000US90040,90040,ZCTA5 90040,12925,349
8600000US90041,90041,ZCTA5 90041,28651,1012
8600000US90042,90042,ZCTA5 90042,63788,1880
8600000US90043,90043,ZCTA5 90043,44571,1636
8600000US90044,90044,ZCTA5 90044,94680,2482
8600000US90045,90045,ZCTA5 90045,41420,1245
8600000US90046,90046,ZCTA5 90046,51615,1052
8600000US90047,90047,ZCTA5 90047,48491,2141
8600000US90048,90048,ZCTA5 90048,22860,974
8600000US90049,90049,ZCTA5 90049,36362,1000
8600000US90056,90056,ZCTA5 90056,8014,695
8600000US90057,90057,ZCTA5 90057,49389,1810
8600000US90058,90058,ZCTA5 90058,3189,974
8600000US90059,90059,ZCTA5 90059,47351,2231
8600000US90061,90061,ZCTA5 90061,28003,1605
8600000US90062,90062,ZCTA5 90062,33627,1565
8600000US90063,90063,ZCTA5 90063,53556,1685
8600000US90064,90064,ZCTA5 90064,26007,925
8600000US90065,90065,ZCTA5 90065,48420,1639
8600000US90066,90066,ZCTA5 90066,59747,1270
8600000US90067,90067,ZCTA5 90067,2235,250
8600000US90068,90068,ZCTA5 90068,21726,940
8600000US90069,90069,ZCTA5 90069,20401,872
8600000US90071,90071,ZCTA5 90071,0,12
8600000US90073,90073,ZCTA5 90073,944,386
8600000US90077,90077,ZCTA5 90077,8936,737
8600000US90079,90079,ZCTA5 90079,0,12
8600000US90089,90089,ZCTA5 90089,3846,436
8600000US90090,90090,ZCTA5 90090,0,12
8600000US90094,90094,ZCTA5 90094,8568,932
8600000US90095,90095,ZCTA5 90095,0,12
8600000US90201,90201,ZCTA5 90201,102878,74
8600000US90210,90210,ZCTA5 90210,20016,1106
8600000US90211,90211,ZCTA5 90211,8019,488
8600000US90212,90212,ZCTA5 90212,13207,770
8600000US90220,90220,ZCTA5 90220,51713,1392
8600000US90221,90221,ZCTA5 90221,54259,1606
8600000US90222,90222,ZCTA5 90222,32585,1576
8600000US90230,90230,ZCTA5 90230,32657,920
8600000US90232,90232,ZCTA5 90232,14865,683
8600000US90240,90240,ZCTA5 90240,26339,1115
8600000US90241,90241,ZCTA5 90241,44097,1481
8600000US90242,90242,ZCTA5 90242,42922,1472
8600000US90245,90245,ZCTA5 90245,16929,56
8600000US90247,90247,ZCTA5 90247,47969,1135
8600000US90248,90248,ZCTA5 90248,10899,668
8600000US90249,90249,ZCTA5 90249,26286,1259
8600000US90250,90250,ZCTA5 90250,97371,1174
8600000US90254,90254,ZCTA5 90254,19750,28
8600000US90255,90255,ZCTA5 90255,75636,868
8600000US90260,90260,ZCTA5 90260,35614,660
8600000US90262,90262,ZCTA5 90262,71306,129
8600000US90263,90263,ZCTA5 90263,1868,230
8600000US90265,90265,ZCTA5 90265,18119,517
8600000US90266,90266,ZCTA5 90266,35698,41
8600000US90270,90270,ZCTA5 90270,27597,127
8600000US90272,90272,ZCTA5 90272,22927,730
8600000US90274,90274,ZCTA5 90274,25374,319
8600000US90275,90275,ZCTA5 90275,42606,86
8600000US90277,90277,ZCTA5 90277,34922,978
8600000US90278,90278,ZCTA5 90278,40808,844
8600000US90280,90280,ZCTA5 90280,95420,35
8600000US90290,90290,ZCTA5 90290,5714,640
8600000US90291,90291,ZCTA5 90291,27170,917
8600000US90292,90292,ZCTA5 90292,22328,1326
8600000US90293,90293,ZCTA5 90293,12762,836
8600000US90301,90301,ZCTA5 90301,37518,1123
8600000US90302,90302,ZCTA5 90302,30892,1039
8600000US90303,90303,ZCTA5 90303,24658,982
8600000US90304,90304,ZCTA5 90304,25937,993
8600000US90305,90305,ZCTA5 90305,15574,1117
8600000US90401,90401,ZCTA5 90401,7485,548
8600000US90402,90402,ZCTA5 90402,11681,682
